"id","Provincia","Departamento","Localidad","¿Se inunda?","Frecuencia","WKT con polígonos","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio","Superficie en km2","Latitud del centroide","Longitud del centroide"
1,"Formosa","Formosa","Formosa","SÍ, SÓLO EN UN SECTOR DEL BARRIO","BAJA","POLYGON((-58.214347129103 -26.219953086884, -58.213540258206 -26.220128077138, -58.212575 -26.219125, -58.211779016693 -26.218661491653, -58.210982 -26.218694, -58.21191 -26.218202, -58.21241895277 -26.218419348102, -58.213267870897 -26.218924912451, -58.214347129103 -26.219953086884))","34","Formosa","34014","Formosa","340142006",0.01963531458055,-26.219138,-58.212883
2,"Formosa","Formosa","Formosa","SÍ, SÓLO EN UN SECTOR DEL BARRIO","ALTA","POLYGON((-58.217922669817 -26.209258400395, -58.217725 -26.209195, -58.218450992551 -26.207661687863, -58.218106 -26.205912, -58.218362607781 -26.205397143722, -58.218888 -26.204343, -58.218947810129 -26.203721190189, -58.219467417655 -26.203832686509, -58.220015256146 -26.203789884608, -58.217922669817 -26.209258400395))","34","Formosa","34014","Formosa","340142006",0.03769056190061,-26.205638,-58.218874
3,"Formosa","Formosa","Formosa","SÍ, TODO EL BARRIO","BAJA","POLYGON((-58.233459744752 -26.203223911622, -58.234084991467 -26.203382988675, -58.234516788 -26.203509371, -58.235076956 -26.2037040049, -58.235710693337 -26.203901242563, -58.235545023715 -26.204300866195, -58.235792076887 -26.204395630762, -58.235571972 -26.2048782, -58.235510923 -26.204996287, -58.234624085 -26.204715812, -58.23307804861 -26.204147066455, -58.233459744752 -26.203223911622))","34","Formosa","34014","Formosa","340142018",0.02989072280288,-26.20409,-58.234473
4,"Formosa","Formosa","Villa del Carmen","SÍ, SÓLO EN UN SECTOR DEL BARRIO","BAJA","POLYGON((-58.276403211057 -26.277415428051, -58.277172334492 -26.278024500867, -58.276541680098 -26.279533640863, -58.275546580553 -26.279474718634, -58.276403211057 -26.277415428051))","34","Formosa","34014","Formosa","340140502",0.02020223771448,-26.278603,-58.276394
5,"Formosa","Formosa","Villa del Carmen","SÍ, SÓLO EN UN SECTOR DEL BARRIO","BAJA","POLYGON((-58.277791254222 -26.278510614439, -58.278451412916 -26.279252256886, -58.277749679983 -26.280085884996, -58.277150541544 -26.279940985048, -58.277791254222 -26.278510614439))","34","Formosa","34014","Formosa","340140502",0.01120049513859,-26.279392,-58.277796
6,"Formosa","Formosa","Villa del Carmen","SÍ, SÓLO EN UN SECTOR DEL BARRIO","BAJA","POLYGON((-58.258667103946 -26.281271532546, -58.257269673049 -26.28074244183, -58.257572092116 -26.280289105365, -58.258801214397 -26.280720195917, -58.258667103946 -26.281271532546))","34","Formosa","34014","Formosa","340140502",0.00847538189883,-26.280762,-58.258078
7,"Formosa","Formosa","Villa del Carmen","SÍ, TODO EL BARRIO","MEDIA","POLYGON((-58.267901 -26.276891, -58.268625 -26.27485, -58.267447 -26.27447, -58.267443 -26.27448, -58.267274 -26.274216, -58.267544 -26.273559, -58.268222 -26.273286, -58.268967 -26.274203, -58.270066 -26.273426, -58.272224 -26.275756, -58.267901 -26.276891))","34","Formosa","34014","Formosa","340140502",0.10054921605793,-26.275069,-58.269566
8,"Formosa","Formosa","Villa del Carmen","SÍ, TODO EL BARRIO","ALTA","POLYGON((-58.262745569253 -26.252065180264, -58.262600007685 -26.252257717479, -58.262192760487 -26.25252153584, -58.261970148603 -26.253246841768, -58.261643 -26.253372, -58.261062131912 -26.252585241116, -58.26259923067 -26.251799832596, -58.262745569253 -26.252065180264))","34","Formosa","34014","Formosa","340140605",0.01208422683602,-26.252581,-58.261883
9,"Formosa","Formosa","Formosa","SÍ, SÓLO EN UN SECTOR DEL BARRIO","MEDIA","POLYGON((-58.224407248199 -26.195341476601, -58.224751576781 -26.195369755685, -58.224944025278 -26.19497294537, -58.226172477007 -26.195550260308, -58.227022066712 -26.19617360079, -58.226935900748 -26.196518963675, -58.224263750017 -26.19563269066, -58.224407248199 -26.195341476601))","34","Formosa","34014","Formosa","340142027",0.01899147963609,-26.195749,-58.225659
10,"Formosa","Formosa","Formosa","SÍ, SÓLO EN UN SECTOR DEL BARRIO","MEDIA","POLYGON((-58.246401026845 -26.195136302623, -58.246986083686 -26.195345086698, -58.246866390109 -26.195703388178, -58.24619717896 -26.195500320724, -58.246401026845 -26.195136302623))","34","Formosa","34014","Formosa","340140602",0.00288241855869,-26.195421,-58.246601
11,"Formosa","Formosa","Formosa","SÍ, SÓLO EN UN SECTOR DEL BARRIO","MEDIA","POLYGON((-58.247506096959 -26.194759347143, -58.246238417923 -26.19434177652, -58.246345035732 -26.19418864686, -58.247559405863 -26.194554472983, -58.247506096959 -26.194759347143))","34","Formosa","34014","Formosa","340140602",0.00281209264333,-26.194463,-58.246919
